,Id,meno,lon,lat
0,3056843,Veľký Bysterec,19.285450,49.210861
1,3057630,Skalica,17.226351,48.844898
2,3056568,Závodie,18.722679,49.216030
3,3056702,Vrbica,19.616671,49.083328
4,725168,Bardejov,21.272711,49.291752
5,3061015,Bojnice,18.586399,48.785110
6,3061188,Bánovce nad Bebravou,18.257540,48.721298
7,724796,Gemerská Hôrka,20.378220,48.534988
8,3057757,Šamorín,17.309719,48.030151
9,3056523,Žiar nad Hronom,18.849581,48.591839
10,724048,Nižné Nemecké,22.250000,48.650002
11,3058090,Poľný Kesov,18.066860,48.165112
12,3058210,Pezinok,17.266640,48.289860
13,3057790,Ružindol,17.491131,48.371769
14,3058533,Nikelberg,19.066669,48.383331
15,3059008,Lovce,18.363319,48.444611
16,3057518,Sološnica,17.230730,48.465210
17,724535,Kamenica nad Cirochou,21.997009,48.931438
18,3056485,Zliechov,18.434750,48.952431
19,3061186,Banská Bystrica,19.153490,48.739460
20,723846,Poprad,20.297979,49.061440
21,3059080,Likavka,19.311621,49.092560
22,3058632,Most pri Bratislave,17.270849,48.142040
23,724355,Spišská Belá,20.466669,49.183331
24,3057817,Rožňové Mitice,18.115561,48.808289
25,3060972,Bratislava,17.106741,48.148159
26,3058477,Nové Mesto nad Váhom,17.830900,48.757629
27,724443,Košice,21.258080,48.713951
28,3058472,Nové Zámky,18.161949,47.985439
29,3059821,Hurbanovo,18.192329,47.869839
30,3059775,Istebník,18.032351,48.903969
31,3058359,Orlovský Dvor,18.433331,49.116669
32,3057124,Trnava,17.587231,48.377399
33,3058531,Nitra,18.084530,48.307629
34,3058780,Martin,18.923990,49.066509
35,3056459,Zvolen,19.153240,48.574421
36,723819,Prešov,21.233931,48.998390
37,723480,Stráňany,21.932930,48.759850
38,3057691,Senica,17.366970,48.679218
39,3057769,Šaľa,17.880619,48.151272
40,3058897,Malacky,17.021879,48.436039
41,723358,Trebišov,21.719540,48.628578
42,3057174,Topoľčany,18.167120,48.563622
43,3060835,Čadca,18.788950,49.435032
44,723417,Svidník,21.570299,49.308189
45,3060151,Halny,19.667219,48.819260
46,3058986,Lučenec,19.667080,48.332489
47,723736,Rimavská Sobota,20.022400,48.382839
48,3060084,Hody,17.710300,48.203091
49,3059101,Levice,18.607050,48.215630
50,724627,Humenné,21.916250,48.937069
51,724503,Kežmarok,20.433519,49.135700
52,723713,Rožňava,20.537580,48.660080
53,723526,Spišská Nová Ves,20.561541,48.944641
54,723195,Vranov nad Topľou,21.684790,48.888359
55,3059436,Komárno,18.122629,47.763561
56,3060139,Handlová,18.760120,48.727600
57,724377,Krompachy,20.875139,48.914471
58,3057293,Svätý Peter pri Váhu,17.799999,48.433331
59,3059179,Kysucké Nové Mesto,18.783331,49.299999
60,3058268,Partizánske,18.384560,48.628609
61,3057086,Turčianske Teplice,18.860479,48.862259
62,723674,Sabinov,21.098801,49.103081
63,723411,Svit,20.206949,49.060139
64,3056495,Zlaté Moravce,18.400631,48.385529
65,3057197,Tisovec,19.943640,48.677380
66,3058611,Myjava,17.568661,48.758759
67,3060589,Detva,19.419540,48.560822
68,3060089,Hnúšťa,19.953951,48.572571
69,723455,Stropkov,21.652161,49.202110
70,3058493,Nováky,18.533890,48.711060
71,723559,Snina,22.150990,48.988571
72,724015,Nový Smokovec,20.208611,49.134319
73,3057637,Siváci,17.633329,48.716671
74,3061184,Banská Štiavnica,18.910030,48.448582
75,724156,Medzilaborce,21.900730,49.271950
76,3059244,Krupina,19.064739,48.355400
77,3057141,Trenčianske Teplice,18.166910,48.910629
78,3059448,Kolárovo,17.984671,47.922939
79,724893,Dobšiná,20.369881,48.820728
80,724159,Medzev,20.893669,48.700409
81,3060322,Dúbravka,17.035210,48.188721
82,3058290,Palúdzka,19.596180,49.081509
83,3056920,Kotešová,18.600000,49.233330
84,3057129,Tri Duby,19.140320,48.639881
85,3061165,Bašovce,17.796499,48.633591
86,724325,Lajošháza,21.216669,48.650002
87,3061009,Boľkovce,19.770010,48.337200
88,3060273,Dvor Prebosek,17.244329,48.178879
89,723505,Stará Ľubovňa,20.686199,49.298592
90,724144,Michalovce,21.919500,48.754341
91,3056508,Žilina,18.739410,49.223148
92,3057140,Trenčín,18.044359,48.894520
93,3057789,Ružomberok,19.307510,49.074799
94,3057963,Púchov,18.325960,49.124939
95,3058000,Prievidza,18.627501,48.774460
96,3058060,Považská Bystrica,18.421690,49.121529
97,3058202,Piešťany,17.825911,48.594791
98,3059050,Liptovský Mikuláš,19.622181,49.080608
99,3060095,Hlohovec,17.803101,48.431740
100,3060219,Galanta,17.727470,48.190010
101,3060308,Dunajská Streda,17.612110,47.992680
102,3060346,Dubnica nad Váhom,18.166340,48.959808
103,3060405,Dolný Kubín,19.303410,49.209831
104,3060950,Brezno,19.636311,48.804310
105,3056697,Vrbové,17.722601,48.619732
106,3061268,Ágota Majer,18.759760,48.073601
107,723082,Ždiar,20.262390,49.271000
108,723119,Vysoké Tatry,20.243860,49.136372
109,723143,Vyšné Ružbachy,20.565580,49.303871
110,723224,Vinné,21.967569,48.809650
111,723468,Štrba,20.079750,49.059132
112,723470,Strážske,21.836679,48.873501
113,723519,Spišské Podhradie,20.753071,49.000881
114,723529,Spišská Belá,20.459480,49.187248
115,723554,Sobrance,22.181360,48.744549
116,723637,Sečovce,21.661039,48.700741
117,723747,Revúca,20.117340,48.683460
118,723866,Podolínec,20.535999,49.258690
119,724026,Nová Lesná,20.267370,49.122532
120,724111,Moldava nad Bodvou,20.999571,48.614281
121,724265,Ľubica,20.450001,49.116669
122,724286,Lipany,20.963820,49.153759
123,724294,Levoča,20.592119,49.021729
124,724784,Giraltovce,21.517309,49.113979
125,724800,Gelnica,20.937120,48.855839
126,724941,Čierna nad Tisou,22.088650,48.417042
127,724969,Chlmec,21.939301,48.886280
128,3056547,Želiezovce,18.654209,48.050751
129,3056589,Žarnovica,18.715651,48.481239
130,3056683,Vrútky,18.917139,49.113281
131,3056711,Vráble,18.308460,48.243710
132,3056816,Veľký Meder,17.768841,47.857979
133,3057063,Tvrdošín,19.556000,49.337002
134,3057069,Turzovka,18.622580,49.404289
135,3057108,Trstená,19.612490,49.361012
136,3057191,Tlmače,18.531521,48.289261
137,3057273,Svodín,18.499670,47.910542
138,3057304,Svätý Jur,17.215389,48.252159
139,3057339,Šurany,18.184469,48.086128
140,3057379,Štúrovo,18.717501,47.794949
141,3057384,Stupava,17.031731,48.274738
142,3057480,Stará Turá,17.694330,48.777210
143,3057552,Smolenice,17.430670,48.504780
144,3057602,Sládkovičovo,17.638519,48.201370
145,3057692,Senec,17.400431,48.219509
146,3057772,Šahy,18.949459,48.074081
147,3057910,Rajec,18.640070,49.088982
148,3058012,Pribylina,19.794270,49.099499
149,3058083,Poltár,19.794081,48.430939
150,3058496,Nová Dubnica,18.146320,48.934792
151,3058498,Nová Baňa,18.640369,48.423050
152,3058546,Nemšová,18.118919,48.967018
153,3058579,Námestovo,19.480320,49.407902
154,3058663,Modra,17.307110,48.333969
155,3059053,Liptovský Hrádok,19.723351,49.039619
156,3059111,Leopoldov,17.764580,48.445751
157,3059282,Kremnica,18.918341,48.705189
158,3059796,Ilava,18.235300,48.997688
159,3059803,Hybe,19.828951,49.044392
160,3059870,Hriňová,19.525740,48.577869
161,3060077,Holíč,17.162380,48.811050
162,3060208,Gbely,17.116280,48.717999
163,3060242,Fiľakovo,19.824730,48.267570
164,3060839,Čachtice,17.787041,48.712261
165,3060852,Bytča,18.558781,49.224041
166,3060942,Brezová pod Bradlom,17.539040,48.663502
167,6559492,Oravská Lesná,19.180929,49.366718
